zip,population,city,county,state
77530,32070,Channelview,Harris,TX
75204,32032,Dallas,Dallas,TX
76543,32031,Killeen,Bell,TX
76182,31889,North Richland Hills,Tarrant,TX
76705,31868,Waco,Mclennan,TX
78727,31856,Austin,Travis,TX
76092,31837,Southlake,Tarrant,TX
76016,31705,Arlington,Tarrant,TX
77053,31521,Houston,Harris,TX
76903,31429,San Angelo,Tom Green,TX
77340,31404,Huntsville,Walker,TX
75041,31250,Garland,Dallas,TX
76548,31247,Harker Heights,Bell,TX
77355,31201,Magnolia,Montgomery,TX
77590,31045,Texas City,Galveston,TX
76901,30972,San Angelo,Tom Green,TX
76140,30930,Fort Worth,Tarrant,TX
75241,30863,Dallas,Dallas,TX
75189,30842,Royse City,Rockwall,TX
75010,30784,Carrollton,Denton,TX
76020,30487,Azle,Tarrant,TX
77016,30462,Houston,Harris,TX
77038,30428,Houston,Harris,TX
77086,30347,Houston,Harris,TX
76053,30317,Hurst,Tarrant,TX
75208,30064,Dallas,Dallas,TX
76049,30062,Granbury,Hood,TX
77532,30042,Crosby,Harris,TX
75604,29922,Longview,Gregg,TX
76401,29904,Stephenville,Erath,TX
77357,29890,New Caney,Montgomery,TX
75038,29886,Irving,Dallas,TX
78023,29847,Helotes,Bexar,TX
78418,29789,Corpus Christi,Nueces,TX
77706,29707,Beaumont,Jefferson,TX
75110,29665,Corsicana,Navarro,TX
78653,29622,Manor,Travis,TX
78717,29463,Austin,Williamson,TX
76201,29447,Denton,Denton,TX
78363,29400,Kingsville,Kleberg,TX
76107,29377,Fort Worth,Tarrant,TX
77566,29362,Lake Jackson,Brazoria,TX
77025,29298,Houston,Harris,TX
77033,29267,Houston,Harris,TX
76226,29240,Argyle,Denton,TX
75901,29148,Lufkin,Angelina,TX
76087,29119,Weatherford,Parker,TX
77005,29022,Houston,Harris,TX
75119,28901,Ennis,Ellis,TX
79932,28893,El Paso,El Paso,TX
76134,28852,Fort Worth,Tarrant,TX
77904,28838,Victoria,Victoria,TX
75022,28773,Flower Mound,Denton,TX
77345,28593,Humble,Harris,TX
76240,28546,Gainesville,Cooke,TX
78602,28536,Bastrop,Bastrop,TX
77833,28507,Brenham,Washington,TX
78617,28376,Del Valle,Travis,TX
76018,28353,Arlington,Tarrant,TX
77091,28351,Houston,Harris,TX
78332,28301,Alice,Jim Wells,TX
79106,28289,Amarillo,Potter,TX
79605,28259,Abilene,Taylor,TX
78102,28253,Beeville,Bee,TX
78410,28210,Corpus Christi,Nueces,TX
77356,28144,Montgomery,Montgomery,TX
77023,28122,Houston,Harris,TX
79930,28091,El Paso,El Paso,TX
77018,28049,Houston,Harris,TX
75212,28017,Dallas,Dallas,TX
77380,28014,Spring,Montgomery,TX
77039,27987,Houston,Harris,TX
78212,27940,San Antonio,Bexar,TX
75252,27880,Dallas,Dallas,TX
76036,27835,Crowley,Tarrant,TX
78729,27707,Austin,Williamson,TX
75455,27700,Mount Pleasant,Titus,TX
75702,27678,Tyler,Smith,TX
78746,27671,Austin,Travis,TX
78731,27664,Austin,Travis,TX
77071,27650,Houston,Harris,TX
77662,27587,Vidor,Orange,TX
77316,27475,Montgomery,Montgomery,TX
75230,27402,Dallas,Dallas,TX
79601,27385,Abilene,Taylor,TX
79706,27354,Midland,Midland,TX
77630,27279,Orange,Orange,TX
77022,27200,Houston,Harris,TX
76114,27151,Fort Worth,Tarrant,TX
76708,27095,Waco,Mclennan,TX
78238,27027,San Antonio,Bexar,TX
75766,26995,Jacksonville,Cherokee,TX
78239,26966,San Antonio,Bexar,TX
75503,26843,Texarkana,Bowie,TX
75240,26841,Dallas,Dallas,TX
75088,26823,Rowlett,Dallas,TX
78214,26805,San Antonio,Bexar,TX
76012,26730,Arlington,Tarrant,TX
75254,26700,Dallas,Dallas,TX
76034,26693,Colleyville,Tarrant,TX
78259,26591,San Antonio,Bexar,TX
77598,26513,Webster,Harris,TX
78754,26508,Austin,Travis,TX
77061,26488,Houston,Harris,TX
78757,26485,Austin,Travis,TX
79072,26404,Plainview,Hale,TX
79934,26360,El Paso,El Paso,TX
75662,26318,Kilgore,Gregg,TX
75092,26297,Sherman,Grayson,TX
76132,26265,Fort Worth,Tarrant,TX
76209,26244,Denton,Denton,TX
77327,26206,Cleveland,Liberty,TX
78260,26164,San Antonio,Bexar,TX
76712,26104,Woodway,Mclennan,TX
77020,26093,Houston,Harris,TX
75048,26062,Sachse,Dallas,TX
79602,26033,Abilene,Taylor,TX
76033,25977,Cleburne,Johnson,TX
78222,25935,San Antonio,Bexar,TX
77021,25769,Houston,Harris,TX
75090,25732,Sherman,Grayson,TX
77062,25568,Houston,Harris,TX
79606,25568,Abilene,Taylor,TX
78411,25548,Corpus Christi,Nueces,TX
78702,25393,Austin,Travis,TX
78724,25328,Austin,Travis,TX
75181,25264,Mesquite,Dallas,TX
77802,25257,Bryan,Brazos,TX
75482,25108,Sulphur Springs,Hopkins,TX
77504,25044,Pasadena,Harris,TX
76208,24992,Denton,Denton,TX
77043,24957,Houston,Harris,TX
77054,24780,Houston,Harris,TX
75205,24726,Dallas,Dallas,TX
79703,24683,Midland,Midland,TX
77478,24673,Sugar Land,Fort Bend,TX
75253,24666,Dallas,Dallas,TX
76801,24636,Brownwood,Brown,TX
77385,24619,Conroe,Montgomery,TX
76710,24607,Waco,Mclennan,TX
78621,24590,Elgin,Bastrop,TX
76048,24586,Granbury,Hood,TX
75160,24494,Terrell,Kaufman,TX
78114,24463,Floresville,Wilson,TX
77414,24254,Bay City,Matagorda,TX
77503,24102,Pasadena,Harris,TX
76006,24057,Arlington,Tarrant,TX
75219,24038,Dallas,Dallas,TX
75180,23939,Mesquite,Dallas,TX
75460,23926,Paris,Lamar,TX
76126,23844,Fort Worth,Tarrant,TX
79413,23820,Lubbock,Lubbock,TX
76109,23725,Fort Worth,Tarrant,TX
76148,23679,Fort Worth,Tarrant,TX
79118,23668,Amarillo,Randall,TX
78380,23610,Robstown,Nueces,TX
79603,23602,Abilene,Taylor,TX
76544,23514,Killeen,Bell,TX
75082,23418,Richardson,Dallas,TX
75094,23408,Plano,Collin,TX
75020,23216,Denison,Grayson,TX
76086,23161,Weatherford,Parker,TX
76052,23080,Haslet,Tarrant,TX
77545,23051,Fresno,Fort Bend,TX
77586,23003,Seabrook,Harris,TX
77505,22967,Pasadena,Harris,TX
78148,22955,Universal City,Bexar,TX
76105,22922,Fort Worth,Tarrant,TX
79015,22914,Canyon,Randall,TX
76011,22878,Arlington,Tarrant,TX
77578,22822,Manvel,Brazoria,TX
76504,22769,Temple,Bell,TX
79905,22767,El Paso,El Paso,TX
78624,22751,Fredericksburg,Gillespie,TX
75218,22712,Dallas,Dallas,TX
78801,22707,Uvalde,Uvalde,TX
78224,22569,San Antonio,Bexar,TX
76111,22567,Fort Worth,Tarrant,TX
79764,22519,Odessa,Ector,TX
77632,22200,Orange,Orange,TX
77551,22198,Galveston,Galveston,TX
77019,22164,Houston,Harris,TX
79407,22157,Lubbock,Lubbock,TX
77056,22155,Houston,Harris,TX
75225,22108,Dallas,Dallas,TX
77303,22040,Conroe,Montgomery,TX
77006,21938,Houston,Harris,TX
76115,21907,Fort Worth,Tarrant,TX
78728,21857,Austin,Travis,TX
75142,21746,Kaufman,Kaufman,TX
77550,21710,Galveston,Galveston,TX
76205,21657,Denton,Denton,TX
75237,21607,Dallas,Dallas,TX
75803,21511,Palestine,Anderson,TX
77657,21323,Lumberton,Hardin,TX
77026,21269,Houston,Harris,TX
76082,21151,Springtown,Parker,TX
76058,21037,Joshua,Johnson,TX
77627,20969,Nederland,Jefferson,TX
75159,20857,Seagoville,Dallas,TX
78752,20779,Austin,Travis,TX
75134,20759,Lancaster,Dallas,TX
79902,20752,El Paso,El Paso,TX
78503,20703,Mcallen,Hidalgo,TX
75401,20689,Greenville,Hunt,TX
75146,20663,Lancaster,Dallas,TX
78739,20631,Austin,Travis,TX
75039,20627,Irving,Dallas,TX
78737,20609,Austin,Travis,TX
75602,20576,Longview,Gregg,TX
75771,20509,Lindale,Smith,TX
76067,20437,Mineral Wells,Palo Pinto,TX
78703,20297,Austin,Travis,TX
76008,20288,Aledo,Parker,TX
76135,20233,Fort Worth,Tarrant,TX
79065,20148,Pampa,Gray,TX
78747,20137,Austin,Travis,TX
76120,19941,Fort Worth,Tarrant,TX
76308,19937,Wichita Falls,Wichita,TX
75116,19755,Duncanville,Dallas,TX
79110,19729,Amarillo,Randall,TX
78734,19711,Austin,Travis,TX
76009,19618,Alvarado,Johnson,TX
77013,19548,Houston,Harris,TX
77401,19428,Bellaire,Harris,TX
75964,19410,Nacogdoches,Nacogdoches,TX
78133,19405,Canyon Lake,Comal,TX
75137,19341,Duncanville,Dallas,TX
76574,19328,Taylor,Williamson,TX
78382,19313,Rockport,Aransas,TX
76528,19224,Gatesville,Coryell,TX
75235,19198,Dallas,Dallas,TX
77027,19171,Houston,Harris,TX
77384,19171,Conroe,Montgomery,TX
77541,19072,Freeport,Brazoria,TX
77069,18968,Houston,Harris,TX
76234,18937,Decatur,Wise,TX
76310,18908,Wichita Falls,Wichita,TX
77707,18867,Beaumont,Jefferson,TX
77302,18845,Conroe,Montgomery,TX
79045,18706,Hereford,Deaf Smith,TX
77012,18640,Houston,Harris,TX
77028,18620,Houston,Harris,TX
77318,18553,Willis,Montgomery,TX
79935,18546,El Paso,El Paso,TX
78732,18535,Austin,Travis,TX
78654,18524,Marble Falls,Burnet,TX
77048,18520,Houston,Harris,TX
79119,18510,Amarillo,Randall,TX
76031,18432,Cleburne,Johnson,TX
78620,18420,Dripping Springs,Hays,TX
76541,18396,Killeen,Bell,TX
75249,18374,Dallas,Dallas,TX
75407,18371,Princeton,Collin,TX
77868,18344,Navasota,Grimes,TX
75965,18321,Nacogdoches,Nacogdoches,TX
77011,18296,Houston,Harris,TX
75203,18295,Dallas,Dallas,TX
78584,18286,Roma,Starr,TX
75670,18263,Marshall,Harrison,TX
79714,18227,Andrews,Andrews,TX
78735,18211,Austin,Travis,TX
77085,18155,Houston,Harris,TX
75201,18032,Dallas,Dallas,TX
77037,18030,Houston,Harris,TX
78566,17999,Los Fresnos,Cameron,TX
