zip,population,city,county,state
72466,1508,Smithville,Lawrence,AR
72479,1499,Weiner,Poinsett,AR
71945,1489,Hatfield,Polk,AR
72568,1474,Pleasant Plains,Independence,AR
72534,1460,Floral,Independence,AR
72415,1431,Black Rock,Lawrence,AR
72201,1428,Little Rock,Pulaski,AR
72057,1415,Grapevine,Grant,AR
72471,1413,Swifton,Jackson,AR
72579,1404,Sulphur Rock,Independence,AR
72358,1398,Luxora,Mississippi,AR
72675,1396,Saint Joe,Searcy,AR
72041,1358,De Valls Bluff,Prairie,AR
72685,1356,Western Grove,Newton,AR
72768,1330,Sulphur Springs,Benton,AR
71956,1325,Mountain Pine,Garland,AR
72865,1321,Subiaco,Logan,AR
72157,1316,Springfield,Conway,AR
72482,1308,Williford,Sharp,AR
71933,1304,Bonnerdale,Hot Spring,AR
72111,1277,Mount Vernon,Faulkner,AR
72658,1273,Norfork,Baxter,AR
72459,1242,Ravenden,Lawrence,AR
71652,1236,Kingsland,Cleveland,AR
71961,1211,Oden,Montgomery,AR
72084,1206,Leola,Grant,AR
72938,1195,Hartford,Sebastian,AR
72368,1192,Moro,Lee,AR
71826,1190,Bradley,Lafayette,AR
71949,1186,Jessieville,Garland,AR
72531,1176,Elizabeth,Fulton,AR
72069,1172,Holly Grove,Monroe,AR
72395,1171,Wilson,Mississippi,AR
72530,1157,Drasco,Cleburne,AR
72129,1146,Prattsville,Grant,AR
72581,1126,Tumbling Shoals,Cleburne,AR
72044,1114,Edgemont,Cleburne,AR
71670,1077,Tillar,Desha,AR
72523,1076,Concord,Cleburne,AR
71747,1053,Huttig,Union,AR
71643,1023,Gould,Lincoln,AR
72651,1015,Midway,Baxter,AR
72717,1014,Canehill,Washington,AR
72350,1006,Joiner,Mississippi,AR
72842,1005,Havana,Yell,AR
72934,999,Chester,Crawford,AR
71962,994,Okolona,Clark,AR
72832,991,Coal Hill,Johnson,AR
71835,980,Emmet,Nevada,AR
72623,978,Clarkridge,Baxter,AR
71726,977,Chidester,Ouachita,AR
72373,949,Parkin,Cross,AR
71841,943,Gillham,Sevier,AR
72532,937,Evening Shade,Sharp,AR
72628,933,Deer,Newton,AR
72384,909,Turrell,Crittenden,AR
72079,905,Jefferson,Jefferson,AR
71660,901,New Edinburg,Cleveland,AR
71838,893,Fulton,Hempstead,AR
72469,892,Strawberry,Lawrence,AR
72680,892,Timbo,Stone,AR
72854,887,Ozone,Johnson,AR
72004,886,Altheimer,Jefferson,AR
72537,885,Gamaliel,Baxter,AR
71751,883,Louann,Ouachita,AR
71827,881,Buckner,Lafayette,AR
72436,881,Lafe,Greene,AR
72125,867,Perry,Perry,AR
72544,865,Henderson,Baxter,AR
72351,860,Keiser,Mississippi,AR
72538,858,Gepp,Fulton,AR
72951,837,Ratcliff,Logan,AR
72003,834,Almyra,Arkansas,AR
72073,833,Humphrey,Jefferson,AR
72742,825,Kingston,Madison,AR
72550,820,Locust Grove,Independence,AR
71944,814,Grannis,Polk,AR
72128,814,Poyen,Grant,AR
72055,811,Gillett,Arkansas,AR
72845,800,Knoxville,Johnson,AR
72928,797,Branch,Franklin,AR
72660,796,Oak Grove,Carroll,AR
72835,793,Delaware,Logan,AR
71766,786,Thornton,Calhoun,AR
72565,781,Oxford,Izard,AR
72955,778,Uniontown,Crawford,AR
71759,768,Norphlet,Union,AR
72347,766,Hickory Ridge,Cross,AR
71959,746,Newhope,Pike,AR
71658,745,Montrose,Ashley,AR
72001,741,Adona,Perry,AR
71950,739,Kirby,Pike,AR
72527,731,Desha,Independence,AR
72926,724,Boles,Scott,AR
72639,720,Harriet,Searcy,AR
71970,714,Story,Montgomery,AR
72577,705,Sidney,Sharp,AR
71862,701,Washington,Hempstead,AR
72346,694,Heth,St. Francis,AR
72776,687,Witter,Madison,AR
72561,686,Mount Pleasant,Izard,AR
72099,685,Little Rock Air Force Base,Pulaski,AR
72950,677,Parks,Scott,AR
72569,674,Poughkeepsie,Sharp,AR
72566,668,Pineville,Izard,AR
71752,665,Mc Neil,Columbia,AR
72392,664,Wheatley,St. Francis,AR
71642,659,Fountain Hill,Ashley,AR
72025,656,Casa,Perry,AR
72047,655,Enola,Faulkner,AR
72051,646,Fox,Stone,AR
72036,630,Cotton Plant,Woodruff,AR
72060,629,Griffithville,White,AR
72122,625,Paron,Saline,AR
71859,617,Saratoga,Howard,AR
72374,609,Poplar Grove,Phillips,AR
72661,602,Oakland,Marion,AR
72330,591,Dyess,Mississippi,AR
72458,590,Powhatan,Lawrence,AR
71999,589,Arkadelphia,Clark,AR
72460,588,Ravenden Springs,Randolph,AR
72141,588,Scotland,Van Buren,AR
71674,579,Watson,Desha,AR
71676,569,Wilmot,Ashley,AR
72648,568,Marble Falls,Newton,AR
71663,560,Portland,Ashley,AR
71971,554,Umpire,Howard,AR
71866,549,Winthrop,Little River,AR
72413,548,Biggers,Randolph,AR
71631,547,Banks,Bradley,AR
72130,541,Prim,Cleburne,AR
71998,522,Arkadelphia,Clark,AR
72435,516,Knobel,Clay,AR
72030,514,Cleveland,Conway,AR
71630,513,Arkansas City,Desha,AR
72152,512,Sherrill,Jefferson,AR
72749,512,Morrow,Washington,AR
72739,508,Hiwasse,Benton,AR
72068,498,Higginson,White,AR
72851,495,New Blaine,Logan,AR
72935,495,Dyer,Crawford,AR
71935,494,Caddo Gap,Montgomery,AR
72333,486,Elaine,Phillips,AR
72624,486,Compton,Newton,AR
71972,484,Vandervoort,Polk,AR
72536,484,Franklin,Izard,AR
71825,480,Blevins,Hempstead,AR
72410,477,Alicia,Lawrence,AR
