,zip,population,city,county,state,latitude,longitude
254,71833,1943,Dierks,Howard,AR,34.141928,-94.04125
255,72372,1939,Palestine,St. Francis,AR,34.96759,-90.950562
256,72642,1906,Lakeview,Baxter,AR,36.375735,-92.540276
257,71973,1891,Wickes,Polk,AR,34.301882,-94.318986
258,71764,1879,Stephens,Ouachita,AR,33.431939,-93.048957
259,72326,1837,Colt,St. Francis,AR,35.116264,-90.907852
260,72821,1835,Altus,Franklin,AR,35.434935,-93.717371
261,72167,1823,Traskwood,Saline,AR,34.417804,-92.647499
262,72419,1815,Caraway,Craighead,AR,35.749599,-90.35355
263,72619,1811,Bull Shoals,Marion,AR,36.37357,-92.591504
264,72645,1792,Leslie,Searcy,AR,35.804138,-92.575385
265,71845,1789,Lewisville,Lafayette,AR,33.315595,-93.643959
266,72136,1781,Romance,White,AR,35.241127,-92.005426
267,72447,1775,Monette,Craighead,AR,35.908913,-90.328424
268,71940,1770,Delight,Pike,AR,34.023354,-93.520406
269,72070,1736,Houston,Perry,AR,35.00812,-92.706952
270,72045,1726,El Paso,White,AR,35.129841,-92.03229
271,72386,1724,Tyronza,Poinsett,AR,35.45024,-90.365989
272,71675,1722,Wilmar,Drew,AR,33.591748,-91.938191
273,71740,1701,Emerson,Columbia,AR,33.076871,-93.167354
274,72035,1696,Conway,Faulkner,AR,35.078763,-92.457353
275,71960,1655,Norman,Montgomery,AR,34.490338,-93.711367
276,71763,1642,Sparkman,Dallas,AR,33.916457,-92.80534
277,72444,1634,Maynard,Randolph,AR,36.428649,-90.852789
278,72027,1619,Center Ridge,Conway,AR,35.373818,-92.572871
279,72769,1611,Summers,Washington,AR,36.035857,-94.495898
280,71834,1611,Doddridge,Miller,AR,33.114843,-93.957845
281,72626,1608,Cotter,Baxter,AR,36.322178,-92.551463
282,72857,1603,Plainview,Yell,AR,34.862651,-93.3219
283,72932,1587,Cedarville,Crawford,AR,35.604219,-94.377357
284,72029,1583,Clarendon,Monroe,AR,34.707123,-91.238574
285,72611,1568,Alpena,Boone,AR,36.244796,-93.330718
286,72327,1555,Crawfordsville,Crittenden,AR,35.232947,-90.333792
287,72320,1539,Brickeys,Lee,AR,34.824331,-90.524725
288,72376,1531,Proctor,Crittenden,AR,35.087232,-90.29975
289,72773,1521,Wesley,Madison,AR,36.022252,-93.835973
290,72466,1508,Smithville,Lawrence,AR,36.053793,-91.330727
291,72479,1499,Weiner,Poinsett,AR,35.633662,-90.905465
292,71945,1489,Hatfield,Polk,AR,34.485153,-94.339565
293,72568,1474,Pleasant Plains,Independence,AR,35.569396,-91.624998
294,72534,1460,Floral,Independence,AR,35.601037,-91.744389
295,72415,1431,Black Rock,Lawrence,AR,36.126668,-91.175013
296,72201,1428,Little Rock,Pulaski,AR,34.746905,-92.280049
297,72057,1415,Grapevine,Grant,AR,34.14094,-92.310368
298,72471,1413,Swifton,Jackson,AR,35.827874,-91.110148
299,72579,1404,Sulphur Rock,Independence,AR,35.848823,-91.449194
300,72358,1398,Luxora,Mississippi,AR,35.792094,-89.892431
