zip,population,city,county,state
30747,15807,Summerville,Chattooga,GA
31047,15750,Kathleen,Houston,GA
30273,15720,Rex,Clayton,GA
31709,15509,Americus,Sumter,GA
30643,15487,Hartwell,Hart,GA
31032,15324,Gray,Jones,GA
30103,15246,Adairsville,Bartow,GA
31220,15230,Macon,Bibb,GA
30635,15200,Elberton,Elbert,GA
31516,15052,Blackshear,Pierce,GA
30461,15034,Statesboro,Bulloch,GA
31539,14796,Hazlehurst,Jeff Davis,GA
31211,14602,Macon,Bibb,GA
30110,14232,Bremen,Haralson,GA
30107,14083,Ball Ground,Cherokee,GA
31023,14079,Eastman,Dodge,GA
30620,14027,Bethlehem,Barrow,GA
31407,14010,Savannah,Chatham,GA
30317,13959,Atlanta,Fulton,GA
30204,13735,Barnesville,Lamar,GA
31316,13732,Ludowici,Long,GA
30401,13708,Swainsboro,Emanuel,GA
30830,13544,Waynesboro,Burke,GA
31523,13450,Brunswick,Glynn,GA
31632,13408,Hahira,Lowndes,GA
31014,13404,Cochran,Bleckley,GA
30337,13309,Atlanta,Fulton,GA
30642,13104,Greensboro,Greene,GA
30622,13073,Bogart,Oconee,GA
30427,12771,Glennville,Tattnall,GA
31415,12706,Savannah,Chatham,GA
30513,12504,Blue Ridge,Fannin,GA
31036,12236,Hawkinsville,Pulaski,GA
30523,12099,Clarkesville,Habersham,GA
30529,12098,Commerce,Jackson,GA
30436,12039,Lyons,Toombs,GA
30650,11971,Madison,Morgan,GA
30054,11867,Oxford,Newton,GA
31820,11832,Midland,Muscogee,GA
30467,11764,Sylvania,Screven,GA
30313,11761,Atlanta,Fulton,GA
31791,11485,Sylvester,Worth,GA
31620,11272,Adel,Cook,GA
31535,11257,Douglas,Coffee,GA
31757,10977,Thomasville,Thomas,GA
31329,10831,Springfield,Effingham,GA
30531,10809,Cornelia,Habersham,GA
30439,10795,Metter,Candler,GA
30025,10689,Social Circle,Walton,GA
30453,10627,Reidsville,Tattnall,GA
31639,10606,Nashville,Berrien,GA
31636,10585,Lake Park,Lowndes,GA
31537,10559,Folkston,Charlton,GA
31408,10554,Savannah,Chatham,GA
30417,10487,Claxton,Evans,GA
30607,10475,Athens,Clarke,GA
31779,10338,Pelham,Mitchell,GA
30288,10181,Conley,Dekalb,GA
30755,10108,Tunnel Hill,Whitfield,GA
30268,10099,Palmetto,Fulton,GA
31082,10061,Sandersville,Washington,GA
30230,9727,Hogansville,Troup,GA
31510,9658,Alma,Bacon,GA
30666,9622,Statham,Barrow,GA
30217,9595,Franklin,Heard,GA
31064,9469,Monticello,Jasper,GA
30814,9342,Harlem,Columbia,GA
31027,9264,Dublin,Laurens,GA
30510,9136,Alto,Habersham,GA
31808,9077,Fortson,Muscogee,GA
31793,9029,Tifton,Tift,GA
31411,8993,Savannah,Chatham,GA
31052,8837,Lizella,Crawford,GA
30145,8807,Kingston,Bartow,GA
30662,8779,Royston,Franklin,GA
30633,8776,Danielsville,Madison,GA
30290,8706,Tyrone,Fayette,GA
30752,8638,Trenton,Dade,GA
31087,8608,Sparta,Hancock,GA
30740,8584,Rocky Face,Whitfield,GA
31546,8555,Jesup,Wayne,GA
30108,8494,Bowdon,Carroll,GA
30554,8486,Lula,Hall,GA
31643,8442,Quitman,Brooks,GA
31315,8387,Fort Stewart,Liberty,GA
30442,8239,Millen,Jenkins,GA
31308,8111,Ellabell,Bryan,GA
31331,8079,Townsend,Mcintosh,GA
30553,8041,Lavonia,Franklin,GA
31055,8005,Mc Rae,Telfair,GA
31201,7937,Macon,Bibb,GA
31730,7836,Camilla,Mitchell,GA
31554,7803,Nicholls,Coffee,GA
30817,7775,Lincolnton,Lincoln,GA
30566,7741,Oakwood,Hall,GA
31320,7627,Midway,Liberty,GA
31771,7626,Norman Park,Colquitt,GA
30535,7607,Demorest,Habersham,GA
30546,7596,Hiawassee,Towns,GA
30905,7594,Augusta,Richmond,GA
31321,7576,Pembroke,Bryan,GA
31096,7552,Wrightsville,Johnson,GA
31302,7540,Bloomingdale,Chatham,GA
30525,7515,Clayton,Rabun,GA
30530,7475,Commerce,Jackson,GA
30742,7374,Fort Oglethorpe,Catoosa,GA
30710,7297,Cohutta,Whitfield,GA
31031,7251,Gordon,Wilkinson,GA
30628,7241,Colbert,Madison,GA
30176,7221,Tallapoosa,Haralson,GA
30683,7192,Winterville,Clarke,GA
30187,7123,Winston,Douglas,GA
30753,7016,Trion,Chattooga,GA
31635,6961,Lakeland,Lanier,GA
30646,6893,Hull,Madison,GA
31833,6883,West Point,Troup,GA
30303,6840,Atlanta,Fulton,GA
30739,6773,Rock Spring,Walker,GA
30183,6772,Waleska,Cherokee,GA
30673,6726,Washington,Wilkes,GA
31028,6673,Centerville,Houston,GA
30326,6643,Atlanta,Fulton,GA
30735,6631,Resaca,Gordon,GA
30184,6535,White,Bartow,GA
31774,6452,Ocilla,Irwin,GA
31092,6423,Vienna,Dooly,GA
30563,6274,Mount Airy,Habersham,GA
